	E054	E055	E056	E061	E062	E122
ENSG00000161958	1643	129	212	125	145	297
ENSG00000161960	61370	132963	268670	152505	32531	244421
ENSG00000161973	2	0	0	2	15	3
ENSG00000161980	779	1171	5403	3823	192	7262
ENSG00000161981	2399	1840	8065	3942	516	7914
ENSG00000161992	0	11	6	0	1	0
ENSG00000161996	6104	4347	13339	5876	1069	11827
ENSG00000161999	8806	10450	28785	32598	4002	34749
ENSG00000162004	656	650	484	1289	324	189
ENSG00000162006	0	0	0	2	2	0
ENSG00000162009	3	0	0	2	0	198
ENSG00000162032	3729	4005	8071	9599	5884	25990
ENSG00000162039	32	114	32	165	6	11
ENSG00000162040	0	0	2	0	0	0
ENSG00000162062	858	1309	6143	1735	12	2148
ENSG00000162063	4522	5916	14975	10135	238	11504
ENSG00000162065	3645	5365	10812	9716	564	7335
ENSG00000162066	4171	3401	8794	26803	1987	13149
ENSG00000162068	331	26	81	22	5	7
ENSG00000162069	4	2	34	0	6	1
ENSG00000162073	5005	2572	23836	12434	446	11910
ENSG00000162076	1155	2450	7051	5286	305	5837
ENSG00000162078	0	10	46	2	54	22
ENSG00000162086	1250	1747	1502	2426	1182	2177
ENSG00000162104	3179	6858	20362	60114	2809	10080
ENSG00000162105	1308	230	1289	81	8	4
ENSG00000162129	5914	4042	8965	10007	1704	6682
ENSG00000162139	935	953	1356	6543	1119	2466
ENSG00000162144	2233	6419	16675	231727	5451	27351
ENSG00000162148	802	162	204	281	535	649
ENSG00000162174	2171	31	78	778	417	8627
ENSG00000162188	822	18	10	20	36	5
ENSG00000162191	6592	10589	20822	24183	6648	21182
ENSG00000162194	1491	3440	9530	7477	1418	4879
ENSG00000162222	1329	3288	3951	4754	310	3363
ENSG00000162227	2933	1941	5231	9829	787	9128
ENSG00000162231	12251	12127	26201	27794	21733	27605
ENSG00000162236	4342	5733	17360	13385	2953	14249
ENSG00000162241	293	513	822	3408	4501	635
ENSG00000162267	5	0	5	15	76	4
ENSG00000162290	5261	6628	9571	14728	7134	25331
ENSG00000162298	10778	18505	57715	50625	12895	43933
ENSG00000162300	2318	6852	16924	12910	1382	27564
ENSG00000162337	25716	1975	4666	14384	133	38064
ENSG00000162341	1697	2899	5863	134249	2115	7213
ENSG00000162344	5	2	0	0	0	6
ENSG00000162365	0	1	0	1	0	0
ENSG00000162366	0	0	0	0	52	71
ENSG00000162367	0	5	6	0	283	29813
ENSG00000162368	5580	6878	15139	30797	7800	7608
ENSG00000162373	782	181	50	651	77	6
ENSG00000162374	1672	0	0	2	4	0
ENSG00000162377	1186	1963	2526	3889	283	3180
ENSG00000162378	8255	5313	7153	15748	2415	10004
ENSG00000162383	0	6	0	0	245	0
ENSG00000162384	3609	4913	7024	10075	1187	12143
ENSG00000162385	812	1846	4000	3000	1229	2103
ENSG00000162390	148	649	4140	2314	174	2871
ENSG00000162391	7	37	0	0	19	0
ENSG00000162396	645	1153	1668	3449	8	994
ENSG00000162398	11	0	0	0	62	0
ENSG00000162399	0	0	4	0	1	0
ENSG00000162402	30570	14127	12542	22386	19817	15295
ENSG00000162407	25743	10873	12527	1439	35	7101
ENSG00000162408	3625	5287	13478	7066	3552	15435
ENSG00000162409	1283	1118	1225	137	0	548
ENSG00000162413	4593	9366	24308	32085	4539	19264
ENSG00000162415	6717	112	369	19	489	4979
ENSG00000162419	1849	1740	5051	3851	1858	4237
ENSG00000162426	457	834	2056	100	79	713
ENSG00000162430	55414	50220	165807	335277	7924	81544
ENSG00000162433	16951	1917	4687	1450	54	918
ENSG00000162434	11735	27317	41797	38452	41110	61646
ENSG00000162437	4019	896	1478	9244	1153	4735
ENSG00000162438	17	4	12	2	106	46
ENSG00000162441	3836	2460	3959	8020	1005	1412
ENSG00000162444	53	0	8	110	423	0
ENSG00000162456	0	0	0	0	0	0
ENSG00000162458	2279	7373	32307	4707	12	184150
ENSG00000162460	0	0	1	0	1	0
ENSG00000162461	390	130	160	1086	274	694
ENSG00000162482	295	187	396	459	122	414
ENSG00000162490	5563	68	231	6	466	723
ENSG00000162493	1980	144	221	2	1	2
ENSG00000162494	0	0	2	0	0	0
ENSG00000162496	87	670	326	390	2926	17617
ENSG00000162510	38	49	25	10	379	69
ENSG00000162511	16	108	838	14	135336	37544
ENSG00000162512	159709	13643	66005	161045	320	6409
ENSG00000162517	6550	10919	20872	22162	2279	43245
ENSG00000162520	1215	2044	4075	12921	1609	1594
ENSG00000162521	19200	8048	28798	46464	5057	20384
ENSG00000162522	976	2161	5545	32563	460	6645
ENSG00000162526	304	73	14	21	1307	9
ENSG00000162542	150	1177	2740	4880	1394	3017
ENSG00000162543	101	0	0	44	145	4
ENSG00000162545	3503	13550	43518	11476	207	1663
ENSG00000162551	411	68	82	7	268	196
ENSG00000162552	14	2	5	23	4	50
ENSG00000162571	0	0	0	0	27	3
ENSG00000162572	1780	530	346	366	600	1672
ENSG00000162576	742	76551	192368	76	499	567
ENSG00000162585	3279	5205	13424	19789	1758	7142
ENSG00000162591	28	1450	1800	1948	2976	27327
ENSG00000162592	2	1	0	2	1	0
ENSG00000162594	0	0	0	0	38	4
ENSG00000162595	1523	70	521	84	2	2384
ENSG00000162598	5	6	0	7	4	0
ENSG00000162599	29828	3009	8386	15051	708	17986
ENSG00000162600	483	1286	978	3833	770	1040
ENSG00000162601	5830	8024	7676	16607	7218	7958
ENSG00000162604	999	1584	3590	7097	728	6197
ENSG00000162607	4546	4561	7433	4300	2599	4629
ENSG00000162613	15877	11326	27538	14905	8479	35449
ENSG00000162614	904	1964	8051	92	183	704
ENSG00000162616	978	3171	5040	3522	360	12646
ENSG00000162618	560	2549	5467	323	0	42348
ENSG00000162620	133	157	38	128	6	69
ENSG00000162621	3	0	0	0	0	0
ENSG00000162623	1537	2966	2627	5187	1209	4134
ENSG00000162624	27	0	0	0	0	0
ENSG00000162627	3005	2473	4097	10708	8	4448
ENSG00000162630	442	38	26	37	95	6
ENSG00000162631	1331	3350	7313	9047	17	0
ENSG00000162636	2213	929	1919	16211	3434	2916
ENSG00000162639	119	265	170	993	914	1220
ENSG00000162641	91	281	227	175	14	363
ENSG00000162642	1463	1337	2083	3648	1631	3577
ENSG00000162643	58	107	304	926	26	41
ENSG00000162645	2	5	42	66	12636	5934
ENSG00000162650	3054	1757	2628	3706	826	2233
ENSG00000162654	4	0	4	110	5081	1579
ENSG00000162664	4076	2751	3076	4636	2407	5351
ENSG00000162669	699	16	18	216	3	2
ENSG00000162670	4970	10	4	0	0	2
ENSG00000162676	24	17	22	84	1857	124
ENSG00000162687	1634	440	91	4	0	341
ENSG00000162688	5434	1537	1704	7144	1743	1935
ENSG00000162692	4092	12	17	4	83	1016
ENSG00000162694	4747	2856	2579	12892	194	8395
ENSG00000162695	3103	4331	11561	15920	4143	12139
ENSG00000162702	2231	4078	5127	5769	2886	3026
ENSG00000162704	9132	15057	33872	46114	7654	30126
ENSG00000162706	8751	21	33	2330	2	4439
ENSG00000162711	29	4	45	2	14508	29
ENSG00000162714	10007	11553	18448	16576	4817	23703
ENSG00000162722	664	0	4	8	423	1
ENSG00000162723	11	2	7	34	6	0
ENSG00000162727	0	0	0	0	0	0
ENSG00000162728	115	6	2	0	84	0
ENSG00000162729	7479	3001	9351	59188	1948	7947
ENSG00000162733	1938	44795	23342	12509	66	14631
ENSG00000162734	148313	57047	131395	89146	6300	116022
ENSG00000162735	9919	11745	19315	34775	3231	16167
ENSG00000162736	20373	22406	59763	84508	10072	83262
ENSG00000162738	14277	70	92	25956	22	8
ENSG00000162739	0	0	0	1	2463	0
ENSG00000162745	132	1261	4395	1563	37	173
ENSG00000162746	78	720	1259	915	53	294
ENSG00000162747	0	0	0	0	2165	0
ENSG00000162753	67	0	0	0	8	5
ENSG00000162755	265	165	37	106	8	434
ENSG00000162757	183	461	960	1135	23	1630
ENSG00000162761	0	0	0	2	0	0
ENSG00000162763	0	0	0	1	0	0
ENSG00000162769	2357	864	3288	7189	1244	3372
ENSG00000162771	3	0	0	2	30	6
ENSG00000162772	344	1551	973	1379	2344	6037
ENSG00000162775	3436	2023	5393	5187	3853	5116
ENSG00000162777	36	617	615	1033	7168	147
ENSG00000162779	15	34	6	57	1	52
ENSG00000162782	0	0	0	3	0	2
ENSG00000162783	5413	6375	27897	19083	4308	5053
ENSG00000162804	262	22010	36017	642	5044	10172
ENSG00000162813	2159	1972	3340	9345	288	9525
ENSG00000162814	166	117	46	88	2	5
ENSG00000162817	720	736	2763	907	93	7303
ENSG00000162819	4918	5667	6831	9726	4087	4486
ENSG00000162825	10147	6129	11825	4747	18267	6158
ENSG00000162836	1486	2033	1610	5662	321	2559
ENSG00000162843	4	0	0	2	13	7
ENSG00000162849	15322	436	863	4308	43	55
ENSG00000162851	683	2691	2639	4602	753	2448
ENSG00000162852	1777	4862	3942	7760	4488	5428
ENSG00000162869	2306	2807	2226	5909	1883	3104
ENSG00000162873	126575	0	2	12	1	0
ENSG00000162877	24	8	0	112	178	14
ENSG00000162878	23386	448	1466	1233	5	1187
ENSG00000162881	106	9	12	101	235	60
ENSG00000162882	95	165	119	1101	473	289
ENSG00000162885	3198	4349	6552	8928	1246	8060
ENSG00000162888	114	43	0	0	255	0
ENSG00000162889	11564	14006	41486	39093	17705	30144
ENSG00000162891	0	0	2	12	1	0
ENSG00000162892	0	27	73	10204	1850	0
ENSG00000162894	0	85	301	31291	10731	0
ENSG00000162896	0	1	0	2	7	0
ENSG00000162897	0	0	2	1	0	0
ENSG00000162909	13969	104035	205275	57934	21012	66813
ENSG00000162913	75	19	91	143	310	8
ENSG00000162923	14203	13514	20115	44179	21364	19689
ENSG00000162924	255	237	742	1746	7770	1569
ENSG00000162927	280	902	509	497	578	1226
ENSG00000162928	1602	1572	2287	3675	680	4329
ENSG00000162929	2463	1725	3505	5004	441	4378
ENSG00000162931	222	68	8	133	254	0
ENSG00000162944	6319	128	95	3348	26	1808
ENSG00000162946	6184	870	2324	11232	2289	4519
ENSG00000162949	1	0	0	0	0	0
ENSG00000162951	62	8	4	0	2	0
ENSG00000162959	1286	2162	4098	5042	1077	3321
ENSG00000162961	2552	3940	7437	9222	1362	7822
ENSG00000162971	1385	1336	1013	2819	2437	1543
ENSG00000162972	681	1200	2305	2923	536	2485
ENSG00000162975	5686	41	125	4	0	113
ENSG00000162976	795	1304	4823	12691	2560	8568
ENSG00000162980	7409	3979	6283	18086	3893	9720
ENSG00000162981	2085	1432	3153	0	0	13
ENSG00000162989	4	4	2	4	2	0
ENSG00000162992	0	0	0	0	0	0
ENSG00000162994	812	540	347	763	263	657
ENSG00000162998	269	73	63	180	4	27
ENSG00000162999	278	231	188	1354	14	724
ENSG00000163001	3096	2407	2540	3198	926	1613
ENSG00000163002	1386	1088	1536	3365	301	2024
ENSG00000163006	593	163	292	741	115	366
ENSG00000163009	197	29	193	151	89	37
ENSG00000163012	6	11	6	0	3	0
ENSG00000163013	2354	2046	2788	7776	5111	1241
ENSG00000163017	112	10	241	582	4	4
ENSG00000163026	3300	1748	2776	3429	204	5466
ENSG00000163029	3127	3679	5271	3404	1862	6366
ENSG00000163032	51	56	101	11	2	4
ENSG00000163040	451	861	3102	3330	27	3217
ENSG00000163041	7467	4315	8293	28183	8601	13579
ENSG00000163046	42	0	0	0	0	0
ENSG00000163050	1238	2040	2988	11112	4152	3391
ENSG00000163053	632	16	11	2	34	172
ENSG00000163060	0	0	3	1	1	1
ENSG00000163064	36	39	199	0	0	0
ENSG00000163067	955	705	938	2385	46	1138
ENSG00000163069	14970	7713	13283	21687	241	11028
ENSG00000163071	412	2125	4536	4131	7	1726
ENSG00000163072	60	11	1	0	29	10
ENSG00000163075	50	0	0	0	6	42
ENSG00000163081	0	32	84	1821	0	0
ENSG00000163082	42	19	0	4	596	0
ENSG00000163083	798	40	164	7	4	45
ENSG00000163092	4	156	180	2	5	62
ENSG00000163093	1200	1929	2183	16627	149	1476
ENSG00000163098	0	0	0	0	0	0
ENSG00000163104	7781	4945	5055	10862	1704	12738
ENSG00000163106	0	0	0	0	41	12
ENSG00000163110	23134	11455	35509	14954	3671	74424
ENSG00000163113	2580	4310	7659	16797	545	3778
ENSG00000163114	0	0	0	2	0	1
ENSG00000163116	5	2	2	11	8	12
ENSG00000163125	10304	14653	26856	25962	6649	13229
ENSG00000163126	1567	712	1691	8788	1648	1958
ENSG00000163131	23	85	300	1099	90356	1627
ENSG00000163132	63	1191	1923	127	9	2814
ENSG00000163138	1362	1343	1807	3906	250	2152
ENSG00000163141	55	15	13	62	28	127
ENSG00000163145	10	100	87	2	14	0
ENSG00000163154	25	1	0	0	339	10
ENSG00000163155	1134	680	911	2740	129	809
ENSG00000163156	1679	3424	5313	6326	1598	2132
ENSG00000163157	77	36	54	91	37	146
ENSG00000163159	5820	6786	11259	12655	781	19530
ENSG00000163161	7757	6779	11518	15946	5002	19023
ENSG00000163162	1192	3324	6997	7947	16545	10248
ENSG00000163166	6078	5270	9563	4911	2288	6921
ENSG00000163170	385	1802	5947	3319	82	1884
ENSG00000163171	2107	67481	68700	40914	6097	7878
ENSG00000163191	3042	63141	223676	86324	11039	33654
ENSG00000163202	0	0	0	0	0	0
ENSG00000163206	0	8	0	0	0	0
ENSG00000163207	0	29	10	2	2	0
ENSG00000163209	0	0	0	0	0	0
ENSG00000163214	5959	3358	4668	6561	2598	6325
ENSG00000163216	0	0	6	0	0	0
ENSG00000163217	0	0	0	0	6	0
ENSG00000163218	0	0	1	0	0	2
ENSG00000163219	4	6	4	141	6375	315
ENSG00000163220	0	2	2	0	49323	0
ENSG00000163221	0	0	0	0	4843	0
ENSG00000163235	19	4	18	10	251	115
ENSG00000163239	2	0	2	21	2	2800
ENSG00000163249	3081	2261	5689	3495	1377	9485
ENSG00000163251	3778	418	1159	1076	118	1214
ENSG00000163254	0	0	0	0	0	0
ENSG00000163257	5920	5696	11026	12141	5067	9367
ENSG00000163263	6	1	7	13	3	2
ENSG00000163273	2	0	28	0	0	0
ENSG00000163281	2156	1575	2193	4955	998	3032
ENSG00000163283	0	0	0	5	3	0
ENSG00000163285	33	0	0	0	0	0
ENSG00000163286	0	0	0	0	2	0
ENSG00000163288	80	0	0	16	0	0
ENSG00000163291	2580	2770	3208	6814	2640	5358
ENSG00000163293	12	131	628	70	30	192
ENSG00000163295	0	0	0	0	0	0
ENSG00000163297	3576	8227	15954	2214	3271	6744
ENSG00000163312	943	1010	1220	2573	987	2096
ENSG00000163320	10549	12840	12497	46733	8504	19116
ENSG00000163322	1073	1866	1367	4196	1217	2913
ENSG00000163328	4005	228	634	8546	2600	693
ENSG00000163331	27	12	23	220	3	41
ENSG00000163344	2057	2110	8788	8097	480	6233
ENSG00000163346	14755	3525	8553	30730	15182	29944
ENSG00000163347	77	106	325	432	4	187
ENSG00000163348	6961	19387	44193	29588	2972	40581
ENSG00000163349	11962	7847	18246	29931	24015	30041
ENSG00000163352	18	0	4	0	6	2
ENSG00000163354	26	25	25	33	139	193
ENSG00000163357	26	17	21	12	71	29
ENSG00000163359	0	634383	1494643	172	361	16
ENSG00000163362	1156	54	174	107	18	8
ENSG00000163374	9236	14175	23663	23487	8799	21812
ENSG00000163376	282	183	304	259	692	244
ENSG00000163377	0	0	0	1	0	12
ENSG00000163378	643	2872	8331	10622	954	29210
ENSG00000163380	0	0	0	4	32	0
ENSG00000163382	3772	5150	18751	29649	1313	35886
ENSG00000163386	24436	18631	27169	10865	32282	16135
ENSG00000163389	2634	2183	1977	5898	1381	5559
ENSG00000163393	12	3491	1406	2529	1130	4
ENSG00000163394	159	0	2	0	0	0
ENSG00000163395	3	31	16	6	0	0
ENSG00000163399	28573	50706	127190	1242657	26724	135696
ENSG00000163406	10816	14	25	103	398	106
ENSG00000163412	551	1983	1841	3568	5083	1000
ENSG00000163421	1	0	0	0	521	0
ENSG00000163424	0	0	0	0	0	0
ENSG00000163428	12426	6239	8096	27427	4144	5464
ENSG00000163430	17509	69669	126476	191320	83	171186
ENSG00000163431	264	87	551	46	1	104
ENSG00000163435	42	10	25	23	625	37
ENSG00000163440	0	0	0	0	0	0
ENSG00000163444	3344	2754	6099	11124	4227	14506
ENSG00000163449	863	21	10	3838	27	4
ENSG00000163453	499	11070	51186	146308	1748	219624
ENSG00000163462	1526	1761	2008	2097	278	6257
ENSG00000163463	2542	6404	19417	15085	1856	23468
ENSG00000163464	0	0	0	0	588	0
ENSG00000163466	16367	41885	102889	83141	37336	116803
ENSG00000163467	5	27	32	4	8	45
ENSG00000163468	23720	30549	56351	70663	3931	91149
ENSG00000163472	808	1679	1112	872	499	1910
ENSG00000163479	14173	18846	65879	51447	12579	205707
ENSG00000163481	3369	5097	9556	8029	954	15814
ENSG00000163482	12133	4713	6679	15463	1098	18586
ENSG00000163485	1193	39	104	89	1	16
ENSG00000163486	45968	14590	28059	28226	6000	25046
ENSG00000163491	195	351	522	108	27	173
ENSG00000163492	1	0	0	2	563	0
ENSG00000163497	0	0	0	5	0	11
ENSG00000163499	0	3	0	1	0	0
ENSG00000163501	7	2	8	38	4	10
ENSG00000163507	1992	2482	4690	1416	197	3313
ENSG00000163508	0	3	4	2162	1806	2
ENSG00000163510	2898	4131	2328	1379	1447	901
ENSG00000163512	3636	7840	4957	11452	2249	3706
ENSG00000163513	1575	40365	95048	43669	20036	199539
ENSG00000163515	0	0	0	0	0	0
ENSG00000163516	3058	3842	3958	6918	6200	9281
ENSG00000163517	1411	1212	2438	6471	212	2960
ENSG00000163518	0	0	0	0	0	0
ENSG00000163519	0	0	0	0	2300	0
ENSG00000163520	72204	6437	18730	123	419	1733
ENSG00000163521	832	1066	1777	6994	275	4614
ENSG00000163527	12647	12489	16852	43805	11950	36888
ENSG00000163528	511	2046	3148	4267	151	1912
ENSG00000163530	6	0	0	2	0	0
ENSG00000163531	880	3012	5768	108	19	4
ENSG00000163534	0	0	0	2	3153	0
ENSG00000163535	2716	2227	3879	962	142	1058
ENSG00000163536	39	44	57	500	135	62
ENSG00000163539	24281	4495	4676	23017	6167	9358
ENSG00000163541	5895	5277	9944	19298	2339	7007
ENSG00000163545	1213	887	1496	178	2665	1135
ENSG00000163554	0	0	0	25	28	31
ENSG00000163558	3022	3508	5030	7908	1085	5677
ENSG00000163563	0	0	0	0	5200	0
ENSG00000163564	0	0	0	344	3846	2
ENSG00000163565	3746	21950	26418	51179	8470	24043
ENSG00000163568	113	8	8	6	139	3
ENSG00000163576	65	72	54	60	44	9
ENSG00000163577	986	1362	2512	8568	549	2111
ENSG00000163581	0	5	2	0	0	0
ENSG00000163586	5	0	0	1	0	0
ENSG00000163590	6027	158	237	4077	3214	628
ENSG00000163596	2259	827	550	745	1872	792
ENSG00000163597	7727	11627	48537	130828	4277	40194
ENSG00000163599	2	0	0	8	1442	0
ENSG00000163600	0	0	0	437	1795	0
ENSG00000163602	5097	5930	4781	10318	3446	3791
ENSG00000163605	4733	4134	3750	12828	3182	5069
ENSG00000163606	7	1	0	5	623	0
ENSG00000163607	1080	1154	1733	3048	649	3036
ENSG00000163608	4910	4019	3458	15174	3602	5183
ENSG00000163611	2755	896	1634	3700	920	2505
ENSG00000163617	1750	459	344	716	807	1269
ENSG00000163618	918	301	194	81	4	1
ENSG00000163623	0	7	257	3	0	0
ENSG00000163624	8	8	5	206	53	8
ENSG00000163625	24736	16231	14646	18919	4407	37636
ENSG00000163626	1539	1305	2176	4927	664	4350
ENSG00000163629	14900	21293	8849	7864	507	997
ENSG00000163630	976	0	0	41	0	0
ENSG00000163631	20	2	0	2	15	4
ENSG00000163632	6	5	0	0	18	0
ENSG00000163633	244	584	369	933	121	862
ENSG00000163634	1292	3644	9174	5976	1028	2306
ENSG00000163635	4223	5880	9314	8991	16379	8796
ENSG00000163636	4673	5485	11759	15290	9222	13734
ENSG00000163637	1614	1745	3518	8693	77	4843
ENSG00000163638	6012	443	1136	2373	0	4141
ENSG00000163644	1337	291	403	3840	1866	1104
ENSG00000163645	24	17	13	48	34	8
ENSG00000163646	0	0	0	0	0	0
ENSG00000163655	7775	9878	23492	19557	2940	7118
ENSG00000163659	2959	9429	18213	13786	5085	5880
ENSG00000163660	7452	10344	9323	15451	46319	34541
ENSG00000163661	830	98907	55971	155	192	45508
ENSG00000163666	59	54	42	69	4	32
ENSG00000163673	4	0	0	2	4	0
ENSG00000163681	4742	5719	7423	5944	4378	7568
ENSG00000163683	1218	1633	2291	3899	546	2319
ENSG00000163684	1514	2468	5097	5950	1315	6154
ENSG00000163686	2033	939	1808	13699	353	3160
ENSG00000163687	0	0	0	2	136	334
ENSG00000163689	64	631	773	914	37	597
ENSG00000163694	144	0	15	194	3152	10
ENSG00000163697	27805	30013	34794	17021	149	34992
ENSG00000163701	87	2820	9136	664	104	662
ENSG00000163702	2247	7254	20804	18173	414	8529
ENSG00000163703	2243	951	3310	5858	1329	11787
ENSG00000163704	1795	1036	1821	3701	641	1313
ENSG00000163705	69	20	0	0	87	0
ENSG00000163710	33	193	205	1622	20	6
ENSG00000163714	10798	11414	11924	10190	9430	9039
ENSG00000163719	3688	7412	10859	18567	6604	13418
ENSG00000163728	4842	2037	1813	5014	3995	3839
ENSG00000163734	30	770	869	53	271	257
ENSG00000163735	12	531	4031	50	107	167
ENSG00000163736	0	0	5	0	1433	0
ENSG00000163737	28	46	331	2	751	0
ENSG00000163738	2058	1128	1309	2038	555	2427
ENSG00000163739	6	977	3666	1502	336	3403
ENSG00000163743	2362	2077	1946	9149	2244	5803
ENSG00000163746	2	21	11	0	3	5
ENSG00000163749	11	15	0	2	0	0
ENSG00000163751	2	54	465	0	954	1030
ENSG00000163754	3662	5865	11183	17970	2979	8308
ENSG00000163755	3434	3484	6632	29882	2690	5452
ENSG00000163762	0	69	214	138	0	31246
ENSG00000163781	9769	5257	11414	10951	4608	9021
ENSG00000163785	5627	9084	11368	14782	2944	11957
ENSG00000163788	3127	2055	3177	14312	16351	36134
ENSG00000163792	0	0	0	0	0	0
ENSG00000163793	0	0	0	0	0	431
ENSG00000163794	67	91	56	136	47	242
ENSG00000163795	2957	2669	4568	5476	1283	14094
ENSG00000163798	2463	3303	3858	3935	1576	4580
ENSG00000163803	58	55	41	49	898	152
ENSG00000163806	8966	3224	2920	7708	3172	3645
ENSG00000163807	7355	4420	5957	8314	1579	5609
ENSG00000163808	4594	2137	3168	434	63	1944
ENSG00000163810	2	98	65	5	116	88
ENSG00000163811	3164	8637	9255	10497	3236	6348
ENSG00000163812	5976	11103	31647	25127	4556	24646
ENSG00000163814	26	5544	12084	71	74	12
ENSG00000163815	105	1546	5335	342	106	898
ENSG00000163817	11	1	4	6	20	2
ENSG00000163818	2340	2767	1811	3236	685	2693
ENSG00000163820	4877	13107	21702	59757	4105	13297
ENSG00000163823	354	0	0	15	6588	0
ENSG00000163825	0	0	2	0	0	6
ENSG00000163827	89	55	140	2919	26	122
ENSG00000163832	2519	3396	6802	8090	594	13687
ENSG00000163833	2	0	0	6	298	0
ENSG00000163840	1721	4431	6536	12083	4043	3437
ENSG00000163848	9593	6744	6026	8645	4671	7830
ENSG00000163864	225	72	45	49	107	196
ENSG00000163866	2236	3966	11219	10421	2006	22868
ENSG00000163867	2818	4023	5115	9302	5897	9967
ENSG00000163870	2722	9507	13466	15662	1150	22118
ENSG00000163872	14647	11525	18241	17963	3540	32401
ENSG00000163873	31471	0	0	4	0	0
ENSG00000163874	187	1509	4184	1356	6738	5814
ENSG00000163875	3899	4682	10120	10017	2364	6973
ENSG00000163877	1266	1717	3808	3385	2701	2515
ENSG00000163879	7111	2701	3268	2636	30	1824
ENSG00000163882	2584	4015	9818	8125	838	28250
ENSG00000163884	2703	1601	213	2831	0	1280
ENSG00000163885	41	5	0	0	13	0
ENSG00000163888	1987	94	586	388	3	18
ENSG00000163898	7	2	12	7	5	0
ENSG00000163900	1722	2817	5387	4804	1506	8566
ENSG00000163902	21815	29779	105290	84095	9020	111710
ENSG00000163904	4593	3993	6948	10381	3125	4138
ENSG00000163909	213	194	310	106	12	0
ENSG00000163913	6618	4365	7355	8125	1665	22860
ENSG00000163914	0	0	0	2	0	4
ENSG00000163915	42	63	12	0	55	2
ENSG00000163918	1390	2143	5835	3597	345	1156
ENSG00000163930	17286	12546	31024	46379	8999	38647
ENSG00000163931	22857	67333	134875	249458	35332	114993
ENSG00000163932	720	5643	15375	27076	7507	9176
ENSG00000163933	3409	4083	9231	8214	1435	15767
ENSG00000163935	1556	501	1378	4769	2733	847
ENSG00000163938	4918	8727	9811	9920	3014	8152
ENSG00000163939	12245	10416	14177	36615	5859	13762
ENSG00000163945	3321	2898	2874	5223	3927	4420
ENSG00000163946	7828	6976	7078	11527	6855	9977
ENSG00000163947	1134	541	884	6437	8452	4266
ENSG00000163950	3461	4698	25327	14646	2803	14172
ENSG00000163956	14290	8083	41661	37981	5012	45154
ENSG00000163958	22	3	7	20	5	0
ENSG00000163959	198	123	1	1	636	0
ENSG00000163960	9010	7758	8010	12418	7682	11891
ENSG00000163961	2727	1894	5645	3028	4107	2620
ENSG00000163964	2413	1358	2932	8948	1033	1801
ENSG00000163975	180	613	911	60800	110	395
ENSG00000163982	0	1	0	0	0	0
ENSG00000163993	6	45	53	1	511	10
ENSG00000163995	823	29	14	37	132	116
ENSG00000164002	947	939	2447	2172	543	2231
ENSG00000164007	23	0	0	0	28	4
ENSG00000164008	1001	1202	1961	1895	684	2005
ENSG00000164010	3646	3318	2967	4890	1314	4389
ENSG00000164011	1150	1038	1702	2628	150	2004
ENSG00000164022	2739	4056	3630	5203	2647	2591
ENSG00000164023	160	3262	6399	1002	451	7978
ENSG00000164024	4323	8321	10432	15526	2629	11088
ENSG00000164031	4217	3167	3497	12246	5649	4245
ENSG00000164032	19219	25719	71988	135213	3960	76763
ENSG00000164035	2	18	48	355	3	22003
ENSG00000164037	117	113	82	375	140	77
ENSG00000164038	2465	3089	5337	10022	847	7294
ENSG00000164039	5288	1531	1803	9523	484	6810
ENSG00000164040	3206	6516	13644	30980	2667	4578
ENSG00000164045	1509	812	8934	2990	24	3260
ENSG00000164047	0	0	0	0	1123	0
ENSG00000164048	2350	957	1206	7449	2430	3405
ENSG00000164049	41	5	0	37	2	2
ENSG00000164050	38645	4830	10485	37018	265	30963
ENSG00000164051	938	1859	2903	5241	836	2847
ENSG00000164053	1541	1901	7258	2918	469	6781
ENSG00000164054	22502	33866	92212	73525	10390	122221
ENSG00000164056	28610	655	1987	3103	440	5199
ENSG00000164061	10108	214	488	224	119	119
ENSG00000164062	14701	18737	39319	54242	3240	29851
ENSG00000164066	2869	655	545	851	6	1321
ENSG00000164068	7852	9569	14236	24932	3794	29861
ENSG00000164070	1963	420	989	265	1353	929
ENSG00000164073	1189	1105	1157	3756	941	3087
ENSG00000164074	729	876	1178	2730	1493	1738
ENSG00000164076	480	0	4	0	0	0
ENSG00000164077	2052	3725	6034	7817	146	11622
ENSG00000164078	59	38	29	541	19	1054
ENSG00000164080	6217	4781	9115	8073	4177	7149
ENSG00000164081	2766	4642	12902	26083	1955	18623
ENSG00000164082	138	13	150	29	466	89
ENSG00000164086	1450	13637	52888	11120	1820	25324
ENSG00000164087	1194	3893	9490	4082	68	5307
ENSG00000164088	987	5070	4778	3700	5480	6162
ENSG00000164089	0	0	0	48	0	0
ENSG00000164091	17189	13633	26349	25899	13724	30446
ENSG00000164093	0	183	667	0	0	14
ENSG00000164096	4988	3558	15244	31981	3679	13490
ENSG00000164099	57	18215	15241	2559	3	183
ENSG00000164100	715	10	25	349	0	29
ENSG00000164104	10040	19317	22708	12228	6404	8914
ENSG00000164105	1235	1444	4511	4330	566	1998
ENSG00000164106	7523	14	13	6	11	0
ENSG00000164107	2	573	3253	0	0	0
ENSG00000164109	2007	2961	5678	6417	268	4463
ENSG00000164111	27078	69394	176103	403622	9875	105881
ENSG00000164112	6	8	57	0	23	37
